model,accuracy,precision,recall,f1_score,roc_auc
Random Forest,0.5233644859813084,0.5233561408741173,0.5233644859813084,0.5233552342462227,0.5266692546583851
Gradient Boosting,0.5077881619937694,0.5077702595634662,0.5077881619937694,0.5077594983647218,0.5035326086956522
Logistic Regression,0.5077881619937694,0.5078312346311747,0.5077881619937694,0.5077308347356742,0.5057841614906833
Decision Tree,0.49221183800623053,0.49215493266402965,0.49221183800623053,0.49206394572080936,0.4749805900621118
